^fall17
BIOCHEM,932,20,4.000,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BIOCHEM,990,86,0.0,0,0,0,0,0,0,0,40.7,0,0,0,57.0,0,0,2.3,0,
DY SCI,101,30,3.367,30.0,20.0,46.7,0,3.3,0,0,0,0,0,0,0,0,0,0,0,
DY SCI,233,28,3.554,32.1,46.4,21.4,0,0,0,0,0,0,0,0,0,0,0,0,0,
DY SCI,305,18,3.250,27.8,22.2,33.3,5.6,11.1,0,0,0,0,0,0,0,0,0,0,0,
DY SCI,370,8,3.188,0,37.5,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
DY SCI,375,14,4.000,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DY SCI,399,26,4.000,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DY SCI,414,20,3.368,35.0,25.0,15.0,15.0,5.0,0,0,0,0,0,0,0,5.0,0,0,0,
DY SCI,434,13,3.231,23.1,23.1,30.8,23.1,0,0,0,0,0,0,0,0,0,0,0,0,
DY SCI,699,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.000,
DY SCI,824,12,3.455,33.3,25.0,25.0,8.3,0,0,0,0,0,0,0,0,0,0,8.3,0,
DY SCI,990,25,0.0,0,0,0,0,0,0,0,68.0,0,0,0,28.0,4.0,0,0,0,
ENTOM,201,108,3.397,38.9,35.2,11.1,4.6,5.6,1.9,1.9,0.9,0,0,0,0,0,0,0,0,
ENTOM,203,75,3.847,74.7,20.0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENTOM,299,12,3.917,91.7,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENTOM,302,25,3.120,44.0,16.0,20.0,8.0,0,0,12.0,0,0,0,0,0,0,0,0,0,
ENTOM,331,9,4.000,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENTOM,351,29,3.310,20.7,41.4,20.7,13.8,3.4,0,0,0,0,0,0,0,0,0,0,0,
ENTOM,375,20,3.875,75.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENTOM,450,21,3.571,76.2,0,9.5,9.5,0,0,4.8,0,0,0,0,0,0,0,0,0,
ENTOM,451,9,4.000,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENTOM,632,7,3.429,42.9,14.3,28.6,14.3,0,0,0,0,0,0,0,0,0,0,0,0,
ENTOM,633,8,3.500,25.0,50.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENTOM,699,11,4.000,90.9,0,0,0,0,0,0,0,0,0,0,0,9.1,0,0,0,
ENTOM,875,13,4.000,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENTOM,ENTOM,23,0.0,0,0,0,0,0,0,0,52.2,0,0,0,47.8,0,0,0,0,
M&ENVTOX,625,15,3.600,46.7,26.7,26.7,0,0,0,0,0,0,0,0,0,0,0,0,0,
M&ENVTOX,632,23,3.477,34.8,39.1,8.7,8.7,4.3,0,0,0,0,0,0,0,0,0,0,4.3,
M&ENVTOX,633,22,3.690,54.5,22.7,18.2,0,0,0,0,0,0,0,0,0,0,0,0,4.5,
M&ENVTOX,634,21,3.450,28.6,28.6,38.1,0,0,0,0,0,0,0,0,0,0,0,0,4.8,
M&ENVTOX,800,36,0.0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,
M&ENVTOX,990,35,0.0,0,0,0,0,0,0,0,88.6,0,0,0,11.4,0,0,0,0,
FISC,101,6,2.833,33.3,0,0,33.3,33.3,0,0,0,0,0,0,0,0,0,0,0,
FISC,110,27,3.574,51.9,22.2,14.8,11.1,0,0,0,0,0,0,0,0,0,0,0,0,
FISC,115,15,3.767,66.7,26.7,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,
FISC,134,19,3.158,31.6,26.3,5.3,15.8,21.1,0,0,0,0,0,0,0,0,0,0,0,
FISC,140,15,3.200,40.0,20.0,20.0,6.7,0,13.3,0,0,0,0,0,0,0,0,0,0,
FISC,145,16,3.156,25.0,25.0,31.3,6.3,6.3,6.3,0,0,0,0,0,0,0,0,0,0,
FISC,20,9,2.667,11.1,11.1,33.3,11.1,22.2,11.1,0,0,0,0,0,0,0,0,0,0,
FISC,56,45,3.067,26.7,22.2,28.9,8.9,4.4,4.4,4.4,0,0,0,0,0,0,0,0,0,
FISC,57,45,3.167,37.8,13.3,20.0,11.1,13.3,4.4,0,0,0,0,0,0,0,0,0,0,
